course_id,semester,enrolment_n
C0.0,S3,167
C0.0,S4,15
C1.2,S1,214
C1.2,S2,59
C1.2,S3,184
C1.2,S4,53
C1.2,S5,206
C1.2,S6,65
C2.2,S1,68
C2.2,S2,170
C2.2,S3,52
C2.2,S4,139
C2.2,S5,64
C2.2,S6,159
C3.5,S1,76
C3.5,S2,39
C3.5,S3,57
C3.5,S4,54
C3.5,S5,62
C3.5,S6,59
C3.6,S1,86
C3.6,S2,52
C3.6,S3,112
C3.6,S4,66
C3.6,S5,105
C3.6,S6,70
C4.4,S1,41
C4.4,S2,76
C4.4,S3,54
C4.4,S4,95
C4.4,S5,70
C4.4,S6,87
C4.5,S1,50
C4.5,S2,78
C4.5,S3,57
C4.5,S4,88
C4.5,S5,61
C4.5,S6,86
C4.6,S1,39
C4.6,S2,71
C4.6,S3,30
C4.6,S4,53
C4.6,S5,57
C4.6,S6,52
C5.4,S1,81
C5.4,S2,54
C5.4,S3,66
C5.4,S4,51
C5.4,S5,97
C5.4,S6,66
C5.5,S1,77
C5.5,S2,39
C5.5,S3,68
C5.5,S4,39
C5.5,S5,81
C5.5,S6,50
C5.6,S1,81
C5.6,S2,20
C5.6,S3,54
C5.6,S4,59
C5.6,S5,57
C5.6,S6,49
C6.1,S1,61
C6.1,S2,81
C6.1,S3,49
C6.1,S4,56
C6.1,S5,54
C6.1,S6,74
C6.3,S1,61
C6.3,S2,96
C6.3,S3,45
C6.3,S4,58
C6.3,S5,60
C6.3,S6,71
C6.4,S1,41
C6.4,S2,67
C6.4,S3,33
C6.4,S4,57
C6.4,S5,48
C6.4,S6,87
C6.5,S1,35
C6.5,S2,79
C6.5,S3,31
C6.5,S4,91
C6.5,S5,40
C6.5,S6,85
C6.6,S1,71
C6.6,S2,81
C6.6,S3,34
C6.6,S4,55
C6.6,S5,50
C6.6,S6,62
C6.G,S6,41
C7.1,S1,73
C7.1,S2,61
C7.1,S3,69
C7.1,S4,48
C7.1,S5,40
C7.1,S6,50
C7.3,S1,52
C7.3,S2,68
C7.3,S3,74
C7.3,S4,54
C7.3,S5,52
C7.3,S6,54
C7.4,S1,40
C7.4,S2,61
C7.4,S3,69
C7.4,S4,50
C7.4,S5,61
C7.4,S6,41
C7.6,S1,50
C7.6,S2,61
C7.6,S3,50
C7.6,S4,57
C7.6,S5,51
C7.6,S6,49
C7.7,S1,4
C7.J,S6,36
C7.K,S6,27
C7.L,S6,32
C8.1,S1,56
C8.1,S2,53
C8.1,S3,36
C8.1,S4,59
C8.1,S5,61
C8.1,S6,51
C8.4,S1,48
C8.4,S2,69
C8.4,S3,55
C8.4,S4,60
C8.4,S5,62
C8.4,S6,53
C8.5,S1,46
C8.5,S2,66
C8.5,S3,56
C8.5,S4,76
C8.5,S5,19
C8.5,S6,55
C8.9,S1,29
C8.9,S2,19
C8.9,S3,48
C8.9,S4,43
C8.9,S5,38
C8.9,S6,35
C8.Q,S6,25
C8.R,S6,19
C8.S,S6,16
C9.5,S1,57
C9.5,S2,52
C9.5,S3,40
C9.5,S4,65
C9.5,S5,72
C9.5,S6,65
C9.8,S6,18
C9.9,S6,17
EA.1,S1,52
EA.1,S2,64
EA.1,S3,77
EA.1,S4,71
EA.1,S5,56
EA.1,S6,52
EA.2,S1,74
EA.2,S2,28
EA.2,S3,32
EA.2,S4,23
EA.2,S5,20
EA.3,S1,67
EA.3,S2,36
EA.3,S3,36
EA.3,S4,44
EA.3,S5,7
EA.4,S1,22
EA.4,S2,37
EA.4,S3,63
EA.4,S4,61
EA.4,S5,29
EA.5,S2,63
EA.5,S3,39
EA.5,S4,37
EA.5,S5,33
EA.6,S2,44
EA.6,S3,34
EA.6,S4,35
EA.6,S5,30
EB.1,S3,17
EB.1,S4,18
EB.1,S5,26
EB.2,S1,25
EB.2,S2,18
EB.2,S3,21
EB.2,S4,21
EB.2,S5,28
EB.3,S1,12
EB.3,S2,26
EB.3,S3,18
EB.3,S4,23
EB.3,S5,14
EB.4,S1,41
EB.4,S3,18
EB.4,S4,23
EB.4,S5,23
EB.5,S1,28
EB.5,S2,31
EB.5,S3,13
EB.5,S4,31
EB.5,S5,19
EB.6,S6,31
X.1,S2,11
X.1,S3,17
X.1,S4,17
X.1,S5,0
X.1,S6,18
X.2,S1,68
X.2,S2,199
X.2,S3,29
X.2,S4,143
X.2,S5,38
X.2,S6,192
X.3,S1,200
X.3,S2,35
X.3,S3,204
X.3,S4,37
X.3,S5,197
X.3,S6,19
X.4,S1,73
X.4,S2,8
X.4,S3,122
X.4,S4,19
X.4,S5,79
X.4,S6,15
X.5,S1,56
X.5,S2,40
X.5,S3,58
X.5,S4,33
X.5,S5,80
X.5,S6,37
X.6,S1,101
X.6,S2,34
X.6,S3,100
X.6,S4,58
X.6,S5,98
X.6,S6,38
X.7,S1,119
X.7,S2,211
X.7,S3,96
X.7,S4,174
X.7,S5,86
X.7,S6,139
X.8,S1,37
X.8,S2,55
X.8,S3,15
X.8,S4,59
X.8,S5,27
X.8,S6,58
